id,mission_id,url,attribution,description,source,type,sub_type
13,7,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Apollo_11_insignia.png/1014px-Apollo_11_insignia.png,NASA,Apollo 11 Patch,https://en.wikipedia.org/wiki/File:Apollo_11_insignia.png,image,insignia
14,7,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Aldrin_Apollo_11_original.jpg/1018px-Aldrin_Apollo_11_original.jpg,NASA,"Astronaut Buzz Aldrin, lunar module pilot, stands on the surface of the moon near the leg of the lunar module, Eagle, during the Apollo 11 moonwalk. Astronaut Neil Armstrong, mission commander, took this photograph with a 70mm lunar surface camera. While Armstrong and Aldrin descended in the lunar module to explore the Sea of Tranquility, astronaut Michael Collins, command module pilot, remained in lunar orbit with the Command and Service Module, Columbia",https://en.wikipedia.org/wiki/File:Aldrin_Apollo_11_original.jpg,image,mission
15,8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Apollo_12_insignia.png/1024px-Apollo_12_insignia.png,NASA,"This is the official crew insignia for Apollo 12, the United States' second lunar landing mission. Crew members are astronauts Charles Conrad Jr., commander; Richard F. Gordon Jr., command module pilot; and Alan L. Bean, lunar module pilot. The clipper ship signifies that the crew is all Navy and symbolically relates the era of the clipper ship to the era of space flight. As the clipper ship brought foreign shores closer to the United States and marked the increased utilization of the seas by this nation, spacecraft have opened the way to the other planets and Apollo 12 marks the increased utilization of space-based on knowledge gained in earlier missions. The portion of the moon shown is representative of the Ocean of Storms area in which Apollo 12 will land.",https://en.wikipedia.org/wiki/File:Apollo_12_insignia.png,image,insignia
16,8,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Surveyor_3-Apollo_12.jpg/1169px-Surveyor_3-Apollo_12.jpg,"NASA, Alan L. Bean","Charles Conrad Jr., Apollo 12 Commander, examines the unmanned Surveyor III spacecraft during the second extravehicular activity (EVA-2). The Lunar Module (LM) ""Intrepid"" is in the right background. This picture was taken by astronaut Alan L. Bean, Lunar Module pilot. The ""Intrepid"" landed on the Moon's Ocean of Storms only 600 feet from Surveyor III. The television camera and several other components were taken from Surveyor III and brought back to earth for scientific analysis. Surveyor III soft-landed on the Moon on April 19, 1967.",https://en.wikipedia.org/wiki/File:Surveyor_3-Apollo_12.jpg,image,portrait
17,9,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Apollo_13-insignia.png/1022px-Apollo_13-insignia.png,NASA,"This is the insignia of the Apollo 13 lunar landing mission. The Apollo 13 prime crew will be astronauts James A. Lovell Jr., commander; Thomas K. Mattingly II, command module pilot; and Fred W. Haise Jr., lunar module pilot. Represented in the Apollo 13 emblem is Apollo, the sun god of Greek mythology, symbolizing how the Apollo flights have extended the light of knowledge to all mankind. The Latin phrase Ex Luna, Scientia means ""From the Moon, Knowledge."" Apollo 13 will be the National Aeronautics and Space Administration's (NASA) third lunar landing mission",https://en.wikipedia.org/wiki/File:Apollo_13-insignia.png,image,insignia
18,9,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Apollo_13_Prime_Crew.jpg/1216px-Apollo_13_Prime_Crew.jpg,NASA,"The actual Apollo 13 lunar landing mission prime crew from left to right are: Commander, James A. Lovell Jr., Command Module pilot, John L. Swigert Jr., and Lunar Module pilot, Fred W. Haise Jr. The original Command Module pilot for this mission was Thomas ""Ken"" Mattingly Jr., but due to exposure to German measles he was replaced by his backup, Command Module pilot, John L. ""Jack"" Swigert Jr.",https://en.wikipedia.org/wiki/File:Apollo_13_Prime_Crew.jpg,image,portrait
19,10,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Apollo_14-insignia.png/1175px-Apollo_14-insignia.png,NASA,"This is the Apollo 14 crew patch designed by astronauts Alan B. Shepard Jr., commander; Stuart A. Roosa, command module pilot; and Edgar D. Mitchell, lunar module pilot. It features the astronaut lapel pin approaching the Moon and leaving a comet trail from the liftoff point on Earth. The pin design was adopted by the astronaut corps several years ago. Astronauts who have not yet flown in space wear silver pins. Those who have flown wear gold pins",https://en.wikipedia.org/wiki/File:Apollo_14-insignia.png,image,insignia
20,10,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Apollo_14_crew.jpg,NASA,"The prime crew of the Apollo 14 lunar landing mission. From left to right they are: Command Module pilot, Stuart A. Roosa, Commander, Alan B. Shepard Jr. and Lunar Module pilot Edgar D. Mitchell. The Apollo 14 mission emblem is in the background.",https://en.wikipedia.org/wiki/File:Apollo_14_crew.jpg,image,portrait
21,11,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Apollo_15-insignia.png/1023px-Apollo_15-insignia.png,NASA,"This is the insignia designed for the Apollo 15 lunar landing mission. The circular design features the colors red, white and blue. On the outer portion of the patch a narrow band of blue and a narrow band of red encircle a wider band of white. The large disc in the center of the emblem has red, white and blue symbols of flight, superimposed over an artist's concept of the Apollo 15 Hadley-Apennine landing site of gray tone. The surnames of the three names are centered in the white band at the bottom of the insignia. The Apollo 15 prime crew men are David R. Scott, commander; Alfred M. Worden, command module pilot; and James B. Irwin, lunar module pilot",https://en.wikipedia.org/wiki/File:Apollo_15-insignia.png,image,insignia
22,11,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/The_Apollo_15_Prime_Crew_-_GPN-2000-001169.jpg/1280px-The_Apollo_15_Prime_Crew_-_GPN-2000-001169.jpg,NASA,"The prime crew of Apollo 15; from left to right: Commander, David R. Scott, Command Module pilot, Alfred M. Worden and Lunar Module pilot, James B. Irwin. The Apollo 15 mission emblem is in the background.",https://en.wikipedia.org/wiki/File:The_Apollo_15_Prime_Crew_-_GPN-2000-001169.jpg,image,portrait
23,12,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Apollo-16-LOGO.png/1030px-Apollo-16-LOGO.png,NASA,"The Apollo 16 crew patch is dominated by an eagle perched atop a red, white and blue shield a superimposed on a lunar scene, surrounded by a blue circle of 16 stars with the crew's surnames completing the bottom are of the circle. Across the face of the shield is a gold symbol of flight outlined in blue, similar to that on the National Aeronautics and Space Administration (NASA) agency seal and insignia. The design was created by a NASA artist from ideas submitted by the three crew members: astronauts John W. Young, commander; Thomas K. Mattingly II, command module pilot; and Charles M. Duke Jr., lunar module pilot.",https://en.wikipedia.org/wiki/File:Apollo-16-LOGO.png,image,insignia
24,12,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Apollo_16_crew.jpg/1024px-Apollo_16_crew.jpg,NASA,"The prime of the Apollo 16 lunar landing mission. From left to right: Thomas K. Mattingly II, Command Module pilot; John W. Young, Commander; and Charles M. Duke Jr., Lunar Module pilot.",https://en.wikipedia.org/wiki/File:Apollo_16_crew.jpg,image,portrait
25,13,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Apollo_17-insignia.png/1024px-Apollo_17-insignia.png,NASA,"The insignia is dominated by the image of Apollo, the Greek sun god. Suspended in space behind the head of Apollo is an American eagle of contemporary design, the red bars of the eagle's wing represent the bars in the United States flag; the three white stars symbolize the three astronaut crewmen. The background is deep blue space and within it are the moon, the planet Saturn and a spiral galaxy or nebula. The moon is partially overlaid by the eagle's wing suggesting that this is a celestial body that man has visited and in that sense conquered. The thrust of the eagle and the gaze of Apollo to the right and toward Saturn and the galaxy is meant to imply that man's goals in space will someday include the planets and perhaps the stars. The colors of the emblem are red, white and blue, the colors of our flag; with the addition of gold, to symbolize the golden age of space flight that will begin with this Apollo 17 lunar landing. The Apollo image used in this emblem was the famous Apollo of Belvedere sculpture now in the Vatican Gallery in Rome. This emblem was designed by artist Robert T. McCall in collaboration with the astronauts.",https://en.wikipedia.org/wiki/File:Apollo_17-insignia.png,image,insignia
26,13,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Apollo_17_crew.jpg/1280px-Apollo_17_crew.jpg,NASA,"The prime crew for the Apollo 17 lunar landing mission are: Commander, Eugene A. Cernan (seated), Command Module pilot Ronald E. Evans (standing on right), and Lunar Module pilot, Harrison H. Schmitt. They are photographed with a Lunar Roving Vehicle (LRV) trainer. Cernan and Schmitt will use an LRV during their exploration of the Taurus-Littrow landing site. The Apollo 17 Saturn V Moon rocket is in the background. This picture was taken at Pad A, Launch Complex 39, Kennedy Space Center (KSC), Florida.",https://en.wikipedia.org/wiki/File:Apollo_17_crew.jpg,image,portrait
